eval_place,sig_vector,sig_string
body_tag,"[0, 1, 2]","""<script>alert('XSS1')</script>"
body_tag,[14],"""<img src='x' onerror='alert(""XSS2"")'>"
body_tag,"[46, 6]","""<div onmouseover='alert(""XSS3"")'>Hover over me!</div>"
body_tag,[47],"""<body onload='alert(""XSS4"")'>"
body_tag,[48],"""<iframe src='javascript:alert(""XSS5"");'>"
body_tag,[126],"""<input type='text' value='' onfocus='alert(""XSS6"")'>"
body_tag,[50],"""<svg onload='alert(""XSS7"")'>"
body_tag,[127],"""<embed src='javascript:alert(""XSS8"");'>"
body_tag,[128],"""<object data='javascript:alert(""XSS9"");'>"
body_tag,"[129, 12]","""<a href='javascript:alert(""XSS10"");'>Click me</a>"
body_tag,"[25, 130]","""<form action='javascript:alert(""X"
